FF,MET_AD,BF,HFF,BFMAT,Improved_MS_Varaince_LOW,Improved_MS_Varaince_HIGH
42600581,44369401,42602789,42603826,43666873,31329060,29612711
7598042,7742943,7620257,7596035,7598246,9256752,8221958
237900524,242398365,238892211,237946572,259485825,131127936,102259976
123313437,124562691,122338612,123312505,123338432,61273359,49046478
166160092,140571838,160845933,165499166,187010397,14699022,14699022
653214047,635167533,640805285,652852800,852957590,116009222,75301502
65232151,63709276,65754808,65232158,75646280,28070097,20767575
19667032500,19619346900,19700200200,19667032500,19859505900,4941086084,4023407978
20276146,22318056,20479742,20276146,20566485,22092186,21826569
216634498,218508899,212537720,216635233,247336301,100968128,71894954
2345240435,2283675029,2398806293,2344088694,3839351372,311819821,297304713
530699237,519663911,536345531,530592334,716515070,79125080,69013075
