FF,MET_AD,BF,HFF,BFMAT,Improved_MS
31922915,32309112,31887519,31963699,32207316,22270926
0,0,0,0,0,0
96766977,101777169,98750637,96722483,111120799,75251589
0,0,0,0,0,0
90223629,80694456,91834911,89780770,102252768,51133268
651160422,643453155,627161072,649504752,857810918,127533315
73517767,72750761,74006789,72586891,77363946,35852181
24427257300,24380119200,22458638400,24793066500,24055047000,8550804711
20508213,22419710,20907941,20478881,21055897,19122148
67470779,67759267,72079642,67005098,92178301,33514521
1959362291,1948323808,2054702610,1955784978,3415264497,788427849
339102419,326692561,361748980,339122490,487139810,140968827
